,energy,max_power,max_power_freq,mean_spectrum,var_spectrum,max_spectrum,entropy,min_spectrum,no_zero_crossings,no_mean_crossings,n5,n25,n75,n95,median,mean,std,var,rms,TipoSismo
118,3.0534503120698246e-06,2.2767630080644983e-07,4.1015625,6.274544127741692e-07,9.56988368289466e-11,4.7770821128828396e-05,2.231939646322642e-21,10.33266918726161,487.0,449.0,-5.375137516251828e-05,-2.2502515072069398e-11,1.52733937333502e-11,5.304454136602266e-05,9.742556189412199e-21,-1.122216818910486e-07,0.00016079425932550445,2.5854793832037575e-08,1.7873593528021066e-05,sisReg
119,8.032813758198334e-11,7.998830592590504e-12,4.6875,3.1480447406549523e-09,2.52047483783277e-15,2.4094431474623387e-07,3.628884145993801e-24,10.33266918726161,654.0,611.0,-2.2884969907596237e-07,-2.4222845759638133e-13,1.344753362663715e-13,2.316819178169362e-07,-7.718551473950973e-22,-5.304887645661507e-10,8.250306831073954e-07,6.806756280686554e-13,8.748919573276732e-08,sisReg
120,0.0990138620627605,0.025668625907482374,0.1953125,6.559019423510639e-05,3.053699501549541e-06,0.0037943126392938208,1.7318984180712007e-17,10.33266918726161,227.0,196.0,-0.009205712200129562,-1.13225820719083e-06,6.680586162505396e-07,0.010233354136498353,-2.97102101919719e-15,6.888538484101668e-05,0.031061214053445377,0.0009647990184739526,0.0063946513197271826,sisReg
121,3.0534503120698246e-06,2.2767630080644983e-07,4.1015625,6.274544127741692e-07,9.56988368289466e-11,4.7770821128828396e-05,2.231939646322642e-21,10.33266918726161,487.0,449.0,-5.375137516251828e-05,-2.2502515072069398e-11,1.52733937333502e-11,5.304454136602266e-05,9.742556189412199e-21,-1.122216818910486e-07,0.00016079425932550445,2.5854793832037575e-08,1.7873593528021066e-05,sisReg
122,8.032813758198334e-11,7.998830592590504e-12,4.6875,3.1480447406549523e-09,2.52047483783277e-15,2.4094431474623387e-07,3.628884145993801e-24,10.33266918726161,654.0,611.0,-2.2884969907596237e-07,-2.4222845759638133e-13,1.344753362663715e-13,2.316819178169362e-07,-7.718551473950973e-22,-5.304887645661507e-10,8.250306831073954e-07,6.806756280686554e-13,8.748919573276732e-08,sisReg
123,0.0990138620627605,0.025668625907482374,0.1953125,6.559019423510639e-05,3.053699501549541e-06,0.0037943126392938208,1.7318984180712007e-17,10.33266918726161,227.0,196.0,-0.009205712200129562,-1.13225820719083e-06,6.680586162505396e-07,0.010233354136498353,-2.97102101919719e-15,6.888538484101668e-05,0.031061214053445377,0.0009647990184739526,0.0063946513197271826,sisReg
124,3.0534503120698246e-06,2.2767630080644983e-07,4.1015625,6.274544127741692e-07,9.56988368289466e-11,4.7770821128828396e-05,2.231939646322642e-21,10.33266918726161,487.0,449.0,-5.375137516251828e-05,-2.2502515072069398e-11,1.52733937333502e-11,5.304454136602266e-05,9.742556189412199e-21,-1.122216818910486e-07,0.00016079425932550445,2.5854793832037575e-08,1.7873593528021066e-05,sisReg
125,8.032813758198334e-11,7.998830592590504e-12,4.6875,3.1480447406549523e-09,2.52047483783277e-15,2.4094431474623387e-07,3.628884145993801e-24,10.33266918726161,654.0,611.0,-2.2884969907596237e-07,-2.4222845759638133e-13,1.344753362663715e-13,2.316819178169362e-07,-7.718551473950973e-22,-5.304887645661507e-10,8.250306831073954e-07,6.806756280686554e-13,8.748919573276732e-08,sisReg
126,0.1005360850873065,0.023166928184152728,0.1953125,0.00021043350467369825,3.16210092690716e-06,0.0036280924058693493,1.9668821674894205e-08,10.208616538591631,903.0,909.0,-0.0279565603643863,-0.004080453670536808,0.006720208674634931,0.019442549334535993,0.00011594084305553934,-0.00011673454363203572,0.03355121421367685,0.0011256839752120313,0.01233553209757786,sisTel
127,1.058745537082649e-05,2.4848062450262284e-07,4.4921875,4.063590104860388e-06,2.1476915828330627e-10,3.908051471224804e-05,1.5810101184650983e-12,10.208616538591631,1746.0,1738.0,-0.0003991934436220238,-8.767234962442572e-05,9.66267104618195e-05,0.0004154565977632595,5.174377770103226e-10,-4.923407454903806e-08,0.0003524597044591451,1.2422784326742792e-07,0.00017536423418435817,sisTel
128,3.3372506137620987e-10,8.468257761789684e-12,4.4921875,2.333919151129114e-08,6.511671012603807e-15,2.6032820717594866e-07,8.895087911982998e-14,10.208616538591631,2011.0,2007.0,-2.4724957586272352e-06,-5.104260653805769e-07,5.344860614857274e-07,2.4943910753615307e-06,-9.404397714039275e-13,-9.418473146127655e-10,1.9869688642264165e-06,3.948045267405215e-12,1.031628251849532e-06,sisTel
129,0.1005360850873065,0.023166928184152728,0.1953125,0.00021043350467369825,3.16210092690716e-06,0.0036280924058693493,1.9668821674894205e-08,10.208616538591631,903.0,909.0,-0.0279565603643863,-0.004080453670536808,0.006720208674634931,0.019442549334535993,0.00011594084305553934,-0.00011673454363203572,0.03355121421367685,0.0011256839752120313,0.01233553209757786,sisTel
130,1.058745537082649e-05,2.4848062450262284e-07,4.4921875,4.063590104860388e-06,2.1476915828330627e-10,3.908051471224804e-05,1.5810101184650983e-12,10.208616538591631,1746.0,1738.0,-0.0003991934436220238,-8.767234962442572e-05,9.66267104618195e-05,0.0004154565977632595,5.174377770103226e-10,-4.923407454903806e-08,0.0003524597044591451,1.2422784326742792e-07,0.00017536423418435817,sisTel
131,3.3372506137620987e-10,8.468257761789684e-12,4.4921875,2.333919151129114e-08,6.511671012603807e-15,2.6032820717594866e-07,8.895087911982998e-14,10.208616538591631,2011.0,2007.0,-2.4724957586272352e-06,-5.104260653805769e-07,5.344860614857274e-07,2.4943910753615307e-06,-9.404397714039275e-13,-9.418473146127655e-10,1.9869688642264165e-06,3.948045267405215e-12,1.031628251849532e-06,sisTel
132,0.1005360850873065,0.023166928184152728,0.1953125,0.00021043350467369825,3.16210092690716e-06,0.0036280924058693493,1.9668821674894205e-08,10.208616538591631,903.0,909.0,-0.0279565603643863,-0.004080453670536808,0.006720208674634931,0.019442549334535993,0.00011594084305553934,-0.00011673454363203572,0.03355121421367685,0.0011256839752120313,0.01233553209757786,sisTel
